2026-04-25 11:37:00,480 [INFO] === Démarrage du pipeline — config : config/baseline.yaml ===
2026-04-25 11:37:01,124 [INFO] Provider : groq/lama-3.1-8b-instant
2026-04-25 11:37:01,127 [INFO] Config sauvegardée → outputs\config_20260425_113700.yaml
2026-04-25 11:37:01,788 [ERROR] [fr] Q1 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:02,561 [ERROR] [fr] Q12 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:02,611 [ERROR] [fr] Q13 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:02,666 [ERROR] [fr] Q14 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:02,720 [ERROR] [fr] Q15 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:02,771 [ERROR] [fr] Q16 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:02,821 [ERROR] [fr] Q17 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:02,871 [ERROR] [fr] Q18 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:02,920 [ERROR] [fr] Q19 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:02,971 [ERROR] [fr] Q20 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:03,031 [ERROR] [fr] Q21 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:03,080 [ERROR] [fr] Q22 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:03,301 [ERROR] [fr] Q23 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:03,361 [ERROR] [fr] Q24 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:03,411 [ERROR] [fr] Q25 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:03,461 [ERROR] [fr] Q26 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:03,518 [ERROR] [fr] Q27 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:03,571 [ERROR] [fr] Q28 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:03,641 [ERROR] [fr] Q29 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:03,700 [ERROR] [fr] Q30 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:03,751 [ERROR] [fr] Q31 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:03,801 [ERROR] [fr] Q32 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:03,851 [ERROR] [fr] Q33 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:03,900 [ERROR] [fr] Q34 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:03,960 [ERROR] [fr] Q35 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:04,022 [ERROR] [fr] Q36 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:04,071 [ERROR] [fr] Q37 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:04,121 [ERROR] [fr] Q38 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:04,172 [ERROR] [fr] Q39 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:04,232 [ERROR] [fr] Q40 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:04,281 [ERROR] [fr] Q41 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:04,332 [ERROR] [fr] Q42 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:04,381 [ERROR] [fr] Q43 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:04,430 [ERROR] [fr] Q44 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:04,483 [ERROR] [fr] Q45 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:04,555 [ERROR] [fr] Q46 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:04,606 [ERROR] [fr] Q47 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:04,660 [ERROR] [fr] Q48 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:04,710 [ERROR] [fr] Q49 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-25 11:37:04,761 [ERROR] [fr] Q50 ERREUR — Error code: 404 - {'error': {'message': 'The model `lama-3.1-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
